,Program,Research Exp,TOEFL Score,greV,greQ,greA,Topper CGPA,CGPA,UG label,ranking
0,0,0,101,430,740,4.5,7.227,7.227,0,751
1,0,0,101,430,740,4.5,7.227,7.227,0,129
2,0,0,101,430,740,4.5,7.227,7.227,0,601
3,0,0,91,144,157,3,7.3,5.611,0,601
4,0,0,0,149,157,3,8.5,7.71,1,215
5,0,0,0,450,730,2,9.78,8.15,1,215
6,0,0,0,450,730,2,9.78,8.15,1,581
7,0,0,0,450,730,2,9.78,8.15,1,231
8,0,0,88,147,164,2.5,8.6,6.2,1,301
9,0,0,0,450,730,2,9.78,8.15,1,501
10,0,0,88,147,164,2.5,8.6,6.2,1,501
11,0,0,102,148,148,3,8.2,7.4,2,231
12,0,0,102,148,148,3,8.2,7.4,2,301
13,0,0,115,154,161,3,8.5,7.1,20,215
14,0,0,115,154,161,3,8.5,7.1,20,501
15,0,0,105,590,750,3,9.7,8.9,3,359
18,0,0,99,660,800,3.5,9.15,8.58,3,48
19,0,0,99,660,800,3.5,9.15,8.58,3,14
20,0,0,99,660,800,3.5,9.15,8.58,3,72
21,0,0,99,660,800,3.5,9.15,8.58,3,285
22,0,0,99,660,800,3.5,9.15,8.58,3,101
23,0,0,99,660,800,3.5,9.15,8.58,3,359
24,0,0,99,660,800,3.5,9.15,8.58,3,219
25,0,0,99,660,800,3.5,9.15,8.58,3,167
26,0,0,99,660,800,3.5,9.15,8.58,3,136
27,0,0,99,660,800,3.5,9.15,8.58,3,56
28,0,0,113,580,800,3.5,9.35,9.35,3,359
29,0,0,113,580,800,3.5,9.35,9.35,3,219
30,0,0,113,580,800,3.5,9.35,9.35,3,75
31,0,0,113,580,800,3.5,9.35,9.35,3,136
32,0,0,113,580,800,3.5,9.35,9.35,3,305
33,0,0,113,580,800,3.5,9.35,9.35,3,65
34,0,0,113,580,800,3.5,9.35,9.35,3,353
35,0,0,100,157,163,3,8.4,8.004,4,215
36,0,0,100,157,163,3,8.4,8.004,4,501
37,0,0,100,157,163,3,8.4,8.004,4,56
38,0,0,95,143,162,3,8.7,8.5,5,90
39,0,0,95,143,162,3,8.7,8.5,5,301
40,0,0,89,370,690,4,7.7,6.941,6,801
41,0,0,89,370,690,4,7.7,6.941,6,39
42,0,0,89,370,690,4,7.7,6.941,6,561
43,0,0,89,370,690,4,7.7,6.941,6,90
44,0,0,89,370,690,4,7.7,6.941,6,301
45,0,0,85,320,600,2.5,8,6.2,21,751
46,0,0,0,157,160,4,8.5,7.1,21,344
47,0,0,0,157,160,4,8.5,7.1,21,340
48,0,0,101,145,161,3.5,8.1,8.03,21,581
49,0,0,101,145,161,3.5,8.1,8.03,21,305
50,0,0,101,145,161,3.5,8.1,8.03,21,501
51,0,0,95,520,780,3,8.76,8.76,22,215
52,0,0,102,630,780,3,9,8,22,215
53,0,0,96,450,740,3,8.9,8.4,22,285
54,0,0,90,141,159,3,9,7.1,22,344
55,0,0,100,146,163,3.5,9,7.52,22,340
56,0,0,90,141,159,3,9,7.1,22,581
57,0,0,107,35,49,5,9.2,7.7,22,189
58,0,0,95,520,780,3,8.76,8.76,22,561
59,0,0,95,148,160,3,9.8,9.12,22,561
60,0,0,95,520,780,3,8.76,8.76,22,167
61,0,0,100,146,163,3.5,9,7.52,22,167
62,0,0,95,520,780,3,8.76,8.76,22,156
63,0,0,96,450,740,3,8.9,8.4,22,90
64,0,0,90,141,159,3,9,7.1,22,90
65,0,0,0,340,720,2.5,9.2,8.5,22,301
66,0,0,100,146,163,3.5,9,7.52,22,501
67,0,0,99,640,750,2.5,9,7.3,23,285
68,0,0,0,510,750,3.5,8.3,7.53,23,111
69,0,0,0,510,750,3.5,8.3,7.53,23,340
70,0,0,0,510,750,3.5,8.3,7.53,23,189
71,0,0,107,520,710,3.5,9,7.75,24,219
72,0,0,107,520,710,3.5,9,7.75,24,35
73,0,0,107,520,710,3.5,9,7.75,24,129
74,0,0,107,520,710,3.5,9,7.75,24,301
75,0,0,0,139,158,3,8.1,7.6,25,189
76,0,0,0,139,158,3,8.1,7.6,25,301
77,0,0,108,560,780,4,6.5,5.827,26,215
78,0,0,108,560,780,4,6.5,5.827,26,285
79,0,0,102,640,780,3.5,7,5.8,26,285
80,0,0,102,640,780,3.5,7,5.8,26,340
81,0,0,108,560,780,4,6.5,5.827,26,262
82,0,0,102,640,780,3.5,7,5.8,26,561
83,0,0,102,640,780,3.5,7,5.8,26,167
84,0,0,102,580,800,3,6.9,6.4,26,301
85,0,0,108,560,780,4,6.5,5.827,26,301
86,0,0,103,560,800,4,9.8,8.15,27,344
87,0,0,99,690,760,3.5,8.875,8.175,28,189
88,0,0,99,690,760,3.5,8.875,8.175,28,167
89,0,0,99,690,760,3.5,8.875,8.175,28,156
90,0,0,99,690,760,3.5,8.875,8.175,28,501
91,0,0,99,690,760,3.5,8.875,8.175,28,327
92,0,0,97,146,156,3.5,8.06,7.59,8,189
93,0,0,96,145,150,4.5,8.6,7.5,9,751
94,0,0,0,141,153,2,8.6,8.6,9,56
95,0,0,89,500,690,2.5,7.6,6.4,10,701
96,0,0,103,510,760,3,9,6.491,10,72
97,0,0,107,149,156,3,7.2,6,10,751
98,0,0,0,155,163,4,7,6.12,10,344
99,0,0,103,510,760,3,9,6.491,10,344
100,0,0,98,630,720,3,7.5,6.8,10,262
101,0,0,98,630,720,3,7.5,6.8,10,340
102,0,0,98,630,720,3,7.5,6.8,10,359
103,0,0,0,155,163,4,7,6.12,10,581
